seq,handle,status,api_address,module,document,interface_group,action,node_name,full_path,source_file
001,d72f008,OK,U8API/APApplyPay/SaveVouch,应付款管理源管理器,付款申请单源管理器,服务接口源管理器,新增或修改,新增或修改源管理器,U8API资源管理器/U8API源管理器/应付款管理源管理器/付款申请单源管理器/服务接口源管理器/新增或修改源管理器,parts/001_d72f008_新增或修改源管理器.txt
002,d72f188,OK,U8API/APApplyPay/GetVouchData,应付款管理源管理器,付款申请单源管理器,服务接口源管理器,装载单据,装载单据源管理器,U8API资源管理器/U8API源管理器/应付款管理源管理器/付款申请单源管理器/服务接口源管理器/装载单据源管理器,parts/002_d72f188_装载单据源管理器.txt
003,d72f2a8,OK,U8API/APApplyPay/DeleteVouch,应付款管理源管理器,付款申请单源管理器,服务接口源管理器,删除单据,删除单据源管理器,U8API资源管理器/U8API源管理器/应付款管理源管理器/付款申请单源管理器/服务接口源管理器/删除单据源管理器,parts/003_d72f2a8_删除单据源管理器.txt
004,d72f098,OK,U8API/APApplyPay/Sign,应付款管理源管理器,付款申请单源管理器,服务接口源管理器,审核单据,审核单据源管理器,U8API资源管理器/U8API源管理器/应付款管理源管理器/付款申请单源管理器/服务接口源管理器/审核单据源管理器,parts/004_d72f098_审核单据源管理器.txt
005,d72edf8,OK,U8API/APApplyPay/CancelSign,应付款管理源管理器,付款申请单源管理器,服务接口源管理器,弃审单据,弃审单据源管理器,U8API资源管理器/U8API源管理器/应付款管理源管理器/付款申请单源管理器/服务接口源管理器/弃审单据源管理器,parts/005_d72edf8_弃审单据源管理器.txt
006,d72e408,OK,U8API/APClose/SaveVouch,应付款管理源管理器,付款单源管理器,服务接口源管理器,新增或修改,新增或修改源管理器,U8API资源管理器/U8API源管理器/应付款管理源管理器/付款单源管理器/服务接口源管理器/新增或修改源管理器,parts/006_d72e408_新增或修改源管理器.txt
007,d72e468,OK,U8API/APClose/GetVouchData,应付款管理源管理器,付款单源管理器,服务接口源管理器,装载单据,装载单据源管理器,U8API资源管理器/U8API源管理器/应付款管理源管理器/付款单源管理器/服务接口源管理器/装载单据源管理器,parts/007_d72e468_装载单据源管理器.txt
008,d72e5b8,OK,U8API/APClose/DeleteVouch,应付款管理源管理器,付款单源管理器,服务接口源管理器,删除单据,删除单据源管理器,U8API资源管理器/U8API源管理器/应付款管理源管理器/付款单源管理器/服务接口源管理器/删除单据源管理器,parts/008_d72e5b8_删除单据源管理器.txt
009,d72ea08,OK,U8API/APClose/Sign,应付款管理源管理器,付款单源管理器,服务接口源管理器,审核单据,审核单据源管理器,U8API资源管理器/U8API源管理器/应付款管理源管理器/付款单源管理器/服务接口源管理器/审核单据源管理器,parts/009_d72ea08_审核单据源管理器.txt
010,d72ed38,OK,U8API/APClose/CancelSign,应付款管理源管理器,付款单源管理器,服务接口源管理器,弃审单据,弃审单据源管理器,U8API资源管理器/U8API源管理器/应付款管理源管理器/付款单源管理器/服务接口源管理器/弃审单据源管理器,parts/010_d72ed38_弃审单据源管理器.txt
